,flops,image_size,params,subnet_settings,top1,top5
39,315.356,"[1, 3, 32, 32]",12.396,"{'depth': [1, 1, 1, 1, 3], 'out_channel': [56, 56, 80, 240, 480, 480, 480], 'kernel_size': [3, 3, 3, 3, 3, 3, 3]}",9.51,49.71
40,758.036,"[1, 3, 32, 32]",16.304,"{'depth': [1, 2, 2, 1, 3], 'out_channel': [40, 96, 96, 144, 144, 224, 544, 544, 544], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",10.25,58.62
41,172.25,"[1, 3, 32, 32]",4.213,"{'depth': [1, 1, 1, 1, 1], 'out_channel': [32, 64, 80, 176, 544], 'kernel_size': [3, 3, 3, 3, 3]}",9.39,50.26
42,483.741,"[1, 3, 32, 32]",6.966,"{'depth': [1, 2, 2, 3, 1], 'out_channel': [32, 32, 32, 128, 128, 304, 304, 304, 320], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",9.85,47.05
43,274.971,"[1, 3, 32, 32]",5.282,"{'depth': [1, 2, 1, 1, 1], 'out_channel': [56, 64, 64, 64, 160, 640], 'kernel_size': [7, 3, 3, 3, 3, 3]}",9.8,49.54
44,408.868,"[1, 3, 32, 32]",10.601,"{'depth': [1, 1, 2, 2, 2], 'out_channel': [32, 64, 128, 128, 176, 176, 544, 544], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",10.08,56.8
45,239.161,"[1, 3, 32, 32]",3.775,"{'depth': [1, 1, 1, 2, 1], 'out_channel': [64, 56, 112, 208, 208, 384], 'kernel_size': [5, 3, 3, 3, 3, 3]}",9.94,51.57
46,208.007,"[1, 3, 32, 32]",2.718,"{'depth': [1, 1, 1, 1, 1], 'out_channel': [56, 80, 96, 176, 384], 'kernel_size': [3, 3, 3, 3, 3]}",9.96,54.71
47,383.734,"[1, 3, 32, 32]",9.614,"{'depth': [1, 2, 2, 2, 3], 'out_channel': [64, 48, 48, 80, 80, 240, 240, 384, 384, 384], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",9.72,44.85
48,364.801,"[1, 3, 32, 32]",3.534,"{'depth': [1, 2, 1, 1, 1], 'out_channel': [56, 80, 80, 96, 288, 352], 'kernel_size': [3, 3, 3, 3, 3, 3]}",10.35,58.55
49,568.447,"[1, 3, 32, 32]",13.661,"{'depth': [1, 2, 2, 3, 3], 'out_channel': [32, 56, 56, 64, 64, 304, 304, 304, 416, 416, 416], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",9.87,43.89
50,425.711,"[1, 3, 32, 32]",18.238,"{'depth': [1, 1, 1, 2, 3], 'out_channel': [32, 32, 96, 240, 240, 576, 576, 576], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",9.68,46.51
51,616.741,"[1, 3, 32, 32]",12.57,"{'depth': [1, 2, 2, 3, 2], 'out_channel': [40, 80, 80, 144, 144, 128, 128, 128, 608, 608], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.37,59.81
52,176.705,"[1, 3, 32, 32]",5.129,"{'depth': [1, 1, 1, 1, 2], 'out_channel': [64, 32, 128, 144, 384, 384], 'kernel_size': [3, 3, 3, 3, 3, 3]}",9.44,49.15
53,570.659,"[1, 3, 32, 32]",15.582,"{'depth': [1, 1, 2, 3, 3], 'out_channel': [32, 48, 80, 80, 320, 320, 320, 448, 448, 448], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",9.55,43.56
54,412.046,"[1, 3, 32, 32]",8.497,"{'depth': [1, 1, 2, 3, 2], 'out_channel': [32, 72, 144, 144, 128, 128, 128, 480, 480], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",10.18,57.88
55,272.51,"[1, 3, 32, 32]",3.396,"{'depth': [1, 1, 1, 3, 1], 'out_channel': [40, 80, 96, 192, 192, 192, 288], 'kernel_size': [3, 3, 3, 3, 3, 3, 3]}",10.2,55.9
56,148.483,"[1, 3, 32, 32]",4.679,"{'depth': [1, 1, 1, 1, 3], 'out_channel': [40, 40, 80, 160, 288, 288, 288], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",8.84,45.64
57,572.01,"[1, 3, 32, 32]",9.879,"{'depth': [1, 2, 2, 3, 3], 'out_channel': [40, 72, 72, 112, 112, 240, 240, 240, 352, 352, 352], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.16,52.87
58,268.783,"[1, 3, 32, 32]",6.446,"{'depth': [1, 1, 2, 2, 2], 'out_channel': [32, 32, 80, 80, 256, 256, 352, 352], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",9.55,44.81
59,454.826,"[1, 3, 32, 32]",12.849,"{'depth': [1, 2, 1, 3, 2], 'out_channel': [48, 64, 64, 80, 176, 176, 176, 608, 608], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3]}",9.92,51.26
60,474.438,"[1, 3, 32, 32]",7.236,"{'depth': [1, 2, 1, 2, 1], 'out_channel': [48, 80, 80, 128, 224, 224, 640], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",10.32,58.0
61,537.934,"[1, 3, 32, 32]",19.745,"{'depth': [1, 1, 1, 2, 3], 'out_channel': [40, 72, 144, 208, 208, 608, 608, 608], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",10.06,54.79
62,550.327,"[1, 3, 32, 32]",12.022,"{'depth': [1, 1, 2, 2, 2], 'out_channel': [64, 80, 112, 112, 304, 304, 512, 512], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",10.03,52.12
63,251.35,"[1, 3, 32, 32]",3.221,"{'depth': [1, 2, 1, 3, 1], 'out_channel': [64, 48, 48, 80, 176, 176, 176, 320], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",9.79,47.79
64,340.094,"[1, 3, 32, 32]",5.499,"{'depth': [1, 2, 2, 1, 2], 'out_channel': [56, 56, 56, 112, 112, 240, 352, 352], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",9.99,53.29
65,281.163,"[1, 3, 32, 32]",4.829,"{'depth': [1, 1, 1, 1, 1], 'out_channel': [40, 96, 112, 176, 576], 'kernel_size': [7, 3, 3, 3, 3]}",9.78,53.16
66,670.366,"[1, 3, 32, 32]",14.358,"{'depth': [1, 2, 2, 3, 2], 'out_channel': [40, 80, 80, 144, 144, 160, 160, 160, 640, 640], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.18,56.96
67,354.331,"[1, 3, 32, 32]",2.402,"{'depth': [1, 2, 2, 1, 1], 'out_channel': [40, 88, 88, 64, 64, 224, 288], 'kernel_size': [3, 3, 3, 3, 3, 3, 3]}",10.12,52.47
68,294.934,"[1, 3, 32, 32]",13.843,"{'depth': [1, 1, 1, 1, 3], 'out_channel': [32, 32, 80, 240, 512, 512, 512], 'kernel_size': [3, 3, 3, 3, 3, 3, 3]}",9.01,45.87
69,297.397,"[1, 3, 32, 32]",5.554,"{'depth': [1, 1, 1, 3, 3], 'out_channel': [56, 80, 112, 144, 144, 144, 288, 288, 288], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",10.04,54.22
70,169.684,"[1, 3, 32, 32]",2.255,"{'depth': [1, 1, 2, 2, 1], 'out_channel': [40, 64, 64, 64, 144, 144, 320], 'kernel_size': [5, 3, 3, 3, 3, 3, 3]}",9.97,50.45
71,430.64,"[1, 3, 32, 32]",5.702,"{'depth': [1, 1, 2, 3, 1], 'out_channel': [64, 32, 144, 144, 256, 256, 256, 320], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",9.86,49.11
72,483.478,"[1, 3, 32, 32]",5.462,"{'depth': [1, 1, 2, 2, 1], 'out_channel': [32, 64, 160, 160, 304, 304, 288], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",10.1,53.56
73,789.141,"[1, 3, 32, 32]",19.963,"{'depth': [1, 1, 2, 3, 3], 'out_channel': [32, 72, 160, 160, 288, 288, 288, 544, 544, 544], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.03,52.71
74,225.022,"[1, 3, 32, 32]",3.561,"{'depth': [1, 1, 1, 1, 1], 'out_channel': [32, 88, 64, 288, 384], 'kernel_size': [5, 3, 3, 3, 3]}",9.66,49.15
75,385.904,"[1, 3, 32, 32]",6.634,"{'depth': [1, 1, 1, 2, 2], 'out_channel': [56, 96, 128, 208, 208, 384, 384], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",10.11,54.65
76,373.799,"[1, 3, 32, 32]",11.418,"{'depth': [1, 1, 2, 1, 2], 'out_channel': [56, 56, 112, 112, 224, 576, 576], 'kernel_size': [5, 3, 3, 3, 3, 3, 3]}",9.83,53.25
77,567.61,"[1, 3, 32, 32]",6.488,"{'depth': [1, 2, 2, 2, 3], 'out_channel': [48, 72, 72, 160, 160, 240, 240, 256, 256, 256], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.2,53.54
