,flops,image_size,params,subnet_settings,top1,top5
26,248.812,"[1, 3, 32, 32]",7.972,"{'depth': [1, 1, 1, 1, 2], 'out_channel': [32, 40, 112, 288, 448, 448], 'kernel_size': [7, 3, 3, 3, 3, 3]}",94.31,99.87
27,627.579,"[1, 3, 32, 32]",20.931,"{'depth': [1, 1, 2, 1, 3], 'out_channel': [64, 88, 128, 128, 192, 640, 640, 640], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",95.29,99.87
28,701.984,"[1, 3, 32, 32]",4.784,"{'depth': [1, 2, 2, 3, 1], 'out_channel': [56, 96, 96, 160, 160, 208, 208, 208, 288], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3]}",95.38,99.88
29,662.418,"[1, 3, 32, 32]",13.392,"{'depth': [1, 1, 2, 3, 2], 'out_channel': [40, 72, 128, 128, 320, 320, 320, 480, 480], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",96.1,99.91
30,605.624,"[1, 3, 32, 32]",13.439,"{'depth': [1, 1, 2, 2, 2], 'out_channel': [48, 96, 112, 112, 320, 320, 544, 544], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",95.91,99.93
31,251.343,"[1, 3, 32, 32]",6.601,"{'depth': [1, 2, 2, 1, 2], 'out_channel': [40, 32, 32, 96, 96, 224, 416, 416], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",94.86,99.88
32,613.848,"[1, 3, 32, 32]",14.612,"{'depth': [1, 2, 1, 2, 3], 'out_channel': [32, 88, 88, 144, 192, 192, 512, 512, 512], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3]}",95.07,99.88
33,538.114,"[1, 3, 32, 32]",11.461,"{'depth': [1, 2, 1, 3, 2], 'out_channel': [56, 80, 80, 144, 144, 144, 144, 576, 576], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3]}",94.79,99.88
34,254.365,"[1, 3, 32, 32]",4.48,"{'depth': [1, 1, 2, 3, 1], 'out_channel': [32, 40, 80, 80, 208, 208, 208, 384], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",95.08,99.86
35,433.163,"[1, 3, 32, 32]",4.935,"{'depth': [1, 2, 2, 3, 2], 'out_channel': [48, 72, 72, 112, 112, 176, 176, 176, 288, 288], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",95.32,99.94
36,378.802,"[1, 3, 32, 32]",11.983,"{'depth': [1, 1, 1, 2, 3], 'out_channel': [48, 32, 96, 304, 304, 416, 416, 416], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3]}",95.04,99.89
37,259.928,"[1, 3, 32, 32]",3.76,"{'depth': [1, 2, 2, 2, 1], 'out_channel': [40, 48, 48, 80, 80, 208, 208, 384], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",95.27,99.92
38,674.271,"[1, 3, 32, 32]",9.261,"{'depth': [1, 2, 1, 2, 2], 'out_channel': [48, 96, 96, 160, 288, 288, 416, 416], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",95.36,99.88
39,315.356,"[1, 3, 32, 32]",12.396,"{'depth': [1, 1, 1, 1, 3], 'out_channel': [56, 56, 80, 240, 480, 480, 480], 'kernel_size': [3, 3, 3, 3, 3, 3, 3]}",94.26,99.84
40,758.036,"[1, 3, 32, 32]",16.304,"{'depth': [1, 2, 2, 1, 3], 'out_channel': [40, 96, 96, 144, 144, 224, 544, 544, 544], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",94.72,99.89
41,172.25,"[1, 3, 32, 32]",4.213,"{'depth': [1, 1, 1, 1, 1], 'out_channel': [32, 64, 80, 176, 544], 'kernel_size': [3, 3, 3, 3, 3]}",94.27,99.81
42,483.741,"[1, 3, 32, 32]",6.966,"{'depth': [1, 2, 2, 3, 1], 'out_channel': [32, 32, 32, 128, 128, 304, 304, 304, 320], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",95.79,99.92
43,274.971,"[1, 3, 32, 32]",5.282,"{'depth': [1, 2, 1, 1, 1], 'out_channel': [56, 64, 64, 64, 160, 640], 'kernel_size': [7, 3, 3, 3, 3, 3]}",93.95,99.85
