,flops,image_size,params,subnet_settings,top1,top5
26,548.737,"[1, 3, 32, 32]",12.59,"{'depth': [1, 1, 2, 3, 3], 'out_channel': [64, 72, 144, 144, 192, 192, 192, 448, 448, 448], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.49,99.64
27,391.794,"[1, 3, 32, 32]",7.818,"{'depth': [1, 2, 2, 1, 3], 'out_channel': [32, 72, 72, 80, 80, 272, 352, 352, 352], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3]}",25.92,99.79
28,497.637,"[1, 3, 32, 32]",15.322,"{'depth': [1, 2, 2, 2, 2], 'out_channel': [32, 32, 32, 96, 96, 320, 320, 608, 608], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",12.38,99.72
29,337.507,"[1, 3, 32, 32]",10.402,"{'depth': [1, 1, 2, 3, 2], 'out_channel': [56, 40, 64, 64, 208, 208, 208, 512, 512], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",14.87,99.73
30,485.308,"[1, 3, 32, 32]",16.834,"{'depth': [1, 1, 2, 1, 3], 'out_channel': [40, 48, 144, 144, 144, 576, 576, 576], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",19.0,99.77
31,513.242,"[1, 3, 32, 32]",6.194,"{'depth': [1, 2, 2, 2, 1], 'out_channel': [56, 80, 80, 96, 96, 272, 272, 480], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",11.85,99.76
32,458.814,"[1, 3, 32, 32]",13.486,"{'depth': [1, 2, 1, 1, 3], 'out_channel': [56, 56, 56, 144, 304, 480, 480, 480], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",48.81,99.84
33,459.985,"[1, 3, 32, 32]",9.839,"{'depth': [1, 2, 2, 3, 3], 'out_channel': [32, 72, 72, 64, 64, 208, 208, 208, 384, 384, 384], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.88,99.75
34,385.832,"[1, 3, 32, 32]",5.15,"{'depth': [1, 2, 2, 1, 1], 'out_channel': [48, 80, 80, 64, 64, 288, 512], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",58.87,99.83
35,370.797,"[1, 3, 32, 32]",4.203,"{'depth': [1, 1, 2, 2, 2], 'out_channel': [56, 80, 144, 144, 144, 144, 288, 288], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3]}",10.6,99.64
36,477.321,"[1, 3, 32, 32]",8.553,"{'depth': [1, 1, 2, 2, 1], 'out_channel': [32, 88, 112, 112, 304, 304, 608], 'kernel_size': [3, 3, 3, 3, 3, 3, 3]}",14.17,99.82
37,328.191,"[1, 3, 32, 32]",7.282,"{'depth': [1, 2, 2, 2, 3], 'out_channel': [32, 48, 48, 112, 112, 144, 144, 352, 352, 352], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.46,99.56
38,293.802,"[1, 3, 32, 32]",4.098,"{'depth': [1, 1, 2, 2, 1], 'out_channel': [48, 40, 128, 128, 208, 208, 384], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",13.09,99.78
39,580.359,"[1, 3, 32, 32]",14.129,"{'depth': [1, 1, 2, 2, 3], 'out_channel': [32, 88, 112, 112, 320, 320, 448, 448, 448], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.64,99.72
40,305.461,"[1, 3, 32, 32]",5.572,"{'depth': [1, 2, 2, 2, 1], 'out_channel': [40, 56, 56, 80, 80, 192, 192, 576], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3]}",11.92,99.75
41,392.377,"[1, 3, 32, 32]",13.843,"{'depth': [1, 1, 1, 1, 3], 'out_channel': [40, 72, 128, 208, 512, 512, 512], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",51.29,99.81
42,620.237,"[1, 3, 32, 32]",11.62,"{'depth': [1, 2, 1, 3, 3], 'out_channel': [64, 96, 96, 112, 160, 160, 160, 448, 448, 448], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.39,99.58
43,294.695,"[1, 3, 32, 32]",5.206,"{'depth': [1, 2, 2, 1, 2], 'out_channel': [40, 64, 64, 80, 80, 144, 384, 384], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",19.84,99.7
44,317.453,"[1, 3, 32, 32]",7.424,"{'depth': [1, 2, 2, 2, 2], 'out_channel': [56, 56, 56, 64, 64, 176, 176, 448, 448], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",11.19,99.67
45,292.376,"[1, 3, 32, 32]",7.944,"{'depth': [1, 2, 1, 3, 3], 'out_channel': [32, 40, 40, 96, 176, 176, 176, 352, 352, 352], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",13.37,99.69
46,146.156,"[1, 3, 32, 32]",4.21,"{'depth': [1, 1, 1, 1, 3], 'out_channel': [40, 32, 96, 208, 256, 256, 256], 'kernel_size': [3, 3, 3, 3, 3, 3, 3]}",77.56,99.77
47,664.982,"[1, 3, 32, 32]",7.626,"{'depth': [1, 2, 2, 3, 1], 'out_channel': [32, 80, 80, 144, 144, 272, 272, 272, 448], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",10.61,99.76
48,332.14,"[1, 3, 32, 32]",2.275,"{'depth': [1, 2, 1, 1, 1], 'out_channel': [64, 80, 80, 112, 160, 320], 'kernel_size': [3, 3, 3, 3, 3, 3]}",41.53,99.78
49,300.266,"[1, 3, 32, 32]",10.117,"{'depth': [1, 2, 2, 1, 3], 'out_channel': [40, 40, 40, 64, 64, 288, 416, 416, 416], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",61.58,99.82
50,379.148,"[1, 3, 32, 32]",17.049,"{'depth': [1, 2, 1, 2, 3], 'out_channel': [32, 32, 32, 80, 176, 176, 576, 576, 576], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",15.93,99.67
51,665.025,"[1, 3, 32, 32]",16.578,"{'depth': [1, 1, 2, 2, 2], 'out_channel': [56, 88, 128, 128, 304, 304, 640, 640], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",10.53,99.68
52,251.637,"[1, 3, 32, 32]",5.959,"{'depth': [1, 2, 1, 2, 3], 'out_channel': [56, 40, 40, 144, 128, 128, 320, 320, 320], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",12.69,99.64
53,196.564,"[1, 3, 32, 32]",3.481,"{'depth': [1, 1, 1, 2, 1], 'out_channel': [64, 64, 96, 128, 128, 480], 'kernel_size': [5, 3, 3, 3, 3, 3]}",25.02,99.73
54,287.389,"[1, 3, 32, 32]",4.288,"{'depth': [1, 1, 1, 2, 1], 'out_channel': [40, 88, 144, 144, 144, 512], 'kernel_size': [3, 3, 3, 3, 3, 3]}",17.31,99.76
55,592.106,"[1, 3, 32, 32]",10.256,"{'depth': [1, 2, 2, 3, 2], 'out_channel': [64, 48, 48, 144, 144, 272, 272, 272, 416, 416], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.4,99.64
56,611.39,"[1, 3, 32, 32]",11.418,"{'depth': [1, 2, 2, 2, 2], 'out_channel': [64, 88, 88, 64, 64, 288, 288, 512, 512], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",10.97,99.75
57,281.057,"[1, 3, 32, 32]",10.673,"{'depth': [1, 1, 1, 1, 2], 'out_channel': [32, 32, 160, 160, 576, 576], 'kernel_size': [3, 3, 3, 3, 3, 3]}",67.43,99.79
58,236.031,"[1, 3, 32, 32]",5.011,"{'depth': [1, 1, 1, 2, 3], 'out_channel': [48, 64, 128, 128, 128, 288, 288, 288], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",13.0,99.69
59,574.339,"[1, 3, 32, 32]",13.22,"{'depth': [1, 2, 1, 3, 2], 'out_channel': [56, 72, 72, 128, 224, 224, 224, 576, 576], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.82,99.7
60,381.72,"[1, 3, 32, 32]",14.799,"{'depth': [1, 1, 1, 2, 3], 'out_channel': [32, 32, 128, 224, 224, 512, 512, 512], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",15.85,99.78
61,351.164,"[1, 3, 32, 32]",5.454,"{'depth': [1, 1, 2, 3, 1], 'out_channel': [64, 96, 64, 64, 176, 176, 176, 544], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",16.39,99.75
62,519.599,"[1, 3, 32, 32]",12.707,"{'depth': [1, 2, 1, 3, 2], 'out_channel': [56, 40, 40, 64, 320, 320, 320, 480, 480], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",22.89,99.8
63,716.075,"[1, 3, 32, 32]",14.085,"{'depth': [1, 1, 2, 3, 3], 'out_channel': [56, 72, 160, 160, 288, 288, 288, 416, 416, 416], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.58,99.69
64,516.969,"[1, 3, 32, 32]",14.686,"{'depth': [1, 2, 1, 2, 3], 'out_channel': [32, 56, 56, 128, 288, 288, 480, 480, 480], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.93,99.78
65,434.576,"[1, 3, 32, 32]",13.308,"{'depth': [1, 1, 2, 2, 2], 'out_channel': [48, 56, 128, 128, 144, 144, 640, 640], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",10.61,99.61
66,557.561,"[1, 3, 32, 32]",17.598,"{'depth': [1, 2, 1, 3, 3], 'out_channel': [56, 64, 64, 128, 160, 160, 160, 576, 576, 576], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.5,99.57
67,389.912,"[1, 3, 32, 32]",10.801,"{'depth': [1, 1, 2, 2, 2], 'out_channel': [32, 80, 112, 112, 128, 128, 576, 576], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",10.76,99.58
68,750.655,"[1, 3, 32, 32]",13.923,"{'depth': [1, 2, 2, 3, 2], 'out_channel': [48, 96, 96, 128, 128, 192, 192, 192, 608, 608], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.1,99.48
69,474.698,"[1, 3, 32, 32]",10.768,"{'depth': [1, 2, 1, 2, 3], 'out_channel': [64, 80, 80, 96, 144, 144, 448, 448, 448], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",11.38,99.68
70,406.326,"[1, 3, 32, 32]",8.184,"{'depth': [1, 2, 1, 3, 3], 'out_channel': [64, 48, 48, 128, 224, 224, 224, 320, 320, 320], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",11.39,99.76
71,552.438,"[1, 3, 32, 32]",5.293,"{'depth': [1, 2, 1, 2, 2], 'out_channel': [48, 96, 96, 112, 272, 272, 256, 256], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",10.77,99.76
72,407.26,"[1, 3, 32, 32]",4.947,"{'depth': [1, 2, 1, 2, 1], 'out_channel': [64, 56, 56, 144, 304, 304, 288], 'kernel_size': [3, 3, 3, 3, 3, 3, 3]}",14.54,99.77
73,630.938,"[1, 3, 32, 32]",20.034,"{'depth': [1, 2, 1, 1, 3], 'out_channel': [64, 80, 80, 64, 320, 608, 608, 608], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",64.36,99.83
74,563.984,"[1, 3, 32, 32]",7.876,"{'depth': [1, 1, 2, 2, 1], 'out_channel': [40, 88, 160, 160, 288, 288, 544], 'kernel_size': [5, 3, 3, 3, 3, 3, 3]}",13.06,99.8
75,445.428,"[1, 3, 32, 32]",10.315,"{'depth': [1, 1, 1, 2, 2], 'out_channel': [40, 80, 144, 272, 272, 480, 480], 'kernel_size': [5, 3, 3, 3, 3, 3, 3]}",13.01,99.77
76,688.306,"[1, 3, 32, 32]",23.331,"{'depth': [1, 1, 2, 3, 3], 'out_channel': [40, 72, 112, 112, 240, 240, 240, 640, 640, 640], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.46,99.57
77,294.048,"[1, 3, 32, 32]",6.526,"{'depth': [1, 1, 1, 1, 2], 'out_channel': [64, 64, 160, 192, 416, 416], 'kernel_size': [5, 3, 3, 3, 3, 3]}",60.9,99.79
78,643.118,"[1, 3, 32, 32]",16.525,"{'depth': [1, 2, 1, 3, 3], 'out_channel': [40, 80, 80, 160, 176, 176, 176, 544, 544, 544], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.57,99.59
79,439.217,"[1, 3, 32, 32]",3.963,"{'depth': [1, 2, 1, 1, 2], 'out_channel': [56, 96, 96, 80, 224, 288, 288], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",53.31,99.85
80,678.122,"[1, 3, 32, 32]",16.237,"{'depth': [1, 1, 2, 2, 3], 'out_channel': [48, 88, 160, 160, 256, 256, 512, 512, 512], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.44,99.71
81,691.352,"[1, 3, 32, 32]",10.475,"{'depth': [1, 2, 2, 2, 2], 'out_channel': [40, 88, 88, 128, 128, 304, 304, 448, 448], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3]}",10.14,99.56
82,617.795,"[1, 3, 32, 32]",10.012,"{'depth': [1, 2, 2, 2, 3], 'out_channel': [32, 88, 88, 96, 96, 304, 304, 352, 352, 352], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.23,99.62
83,419.551,"[1, 3, 32, 32]",11.499,"{'depth': [1, 1, 1, 2, 2], 'out_channel': [32, 80, 128, 240, 240, 544, 544], 'kernel_size': [5, 3, 3, 3, 3, 3, 3]}",12.24,99.74
84,371.571,"[1, 3, 32, 32]",6.574,"{'depth': [1, 1, 1, 2, 1], 'out_channel': [56, 96, 128, 192, 192, 640], 'kernel_size': [5, 3, 3, 3, 3, 3]}",17.07,99.79
85,210.457,"[1, 3, 32, 32]",7.754,"{'depth': [1, 1, 1, 3, 2], 'out_channel': [32, 40, 64, 128, 128, 128, 480, 480], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",26.74,99.71
86,364.401,"[1, 3, 32, 32]",6.922,"{'depth': [1, 1, 1, 3, 1], 'out_channel': [32, 40, 96, 288, 288, 288, 416], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",40.2,99.83
87,424.258,"[1, 3, 32, 32]",7.697,"{'depth': [1, 1, 1, 2, 3], 'out_channel': [40, 96, 96, 304, 304, 288, 288, 288], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",15.45,99.83
